time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-23T17:45:54.000Z,59.8217,-151.9405,53.6,3,ml,,,,0.51,ak,ak13058971,2016-03-23T18:05:36.113Z,"7km NW of Anchor Point, Alaska",earthquake,0.6,0.8,,,automatic,ak,ak
2016-03-23T16:29:56.000Z,54.2871,-162.8332,41.3,4.4,ml,,,,0.54,ak,ak13058141,2016-03-23T17:40:23.958Z,"73km SSE of False Pass, Alaska",earthquake,0.8,0.5,,,reviewed,ak,ak
2016-03-23T14:36:11.000Z,63.2188,-149.3794,81.2,2.5,ml,,,,0.69,ak,ak13058128,2016-03-23T15:21:15.345Z,"28km SW of Cantwell, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-03-23T13:14:06.340Z,-30.35,-71.848,20.87,4.5,mb,,166,0.371,0.93,us,us20005c10,2016-03-23T13:31:02.507Z,"65km SW of Coquimbo, Chile",earthquake,7.2,3,0.204,7,reviewed,us,us
2016-03-23T12:20:36.180Z,-5.3665,150.6216,182.27,4.6,mb,,79,1.93,1.36,us,us20005c0q,2016-03-23T12:38:22.303Z,"56km ENE of Kimbe, Papua New Guinea",earthquake,5.6,7.8,0.092,35,reviewed,us,us
2016-03-23T11:45:16.750Z,36.8632,-98.3409,4.08,2.9,mb_lg,,86,0.12,0.2,us,us20005c0j,2016-03-23T11:57:08.925Z,"12km N of Cherokee, Oklahoma",earthquake,1.7,7.8,0.081,40,reviewed,us,us
2016-03-23T11:20:25.200Z,18.8803,-66.0938,26,3.4,Md,19,216,0.56773526,0.31,pr,pr16083001,2016-03-23T11:38:10.184Z,"45km N of San Juan, Puerto Rico",earthquake,1.3,11,0,18,reviewed,pr,pr
2016-03-23T10:50:03.530Z,24.56,96.0271,62.66,4.4,mb,,113,3.913,0.74,us,us20005c0c,2016-03-23T11:08:27.427Z,"126km WNW of Bhamo, Burma",earthquake,11.7,4.1,0.109,24,reviewed,us,us
2016-03-23T09:13:15.180Z,31.468,142.3257,7.57,4.5,mb,,125,2.687,0.62,us,us20005c03,2016-03-23T17:15:52.840Z,"297km SE of Hachijo-jima, Japan",earthquake,6.9,4.3,0.103,28,reviewed,us,us
2016-03-23T07:48:25.040Z,36.7098,52.3141,10,4.3,mb,,123,4.782,1.45,us,us20005bzm,2016-03-23T09:01:19.925Z,"18km W of Fereydun Kenar, Iran",earthquake,10.7,2,0.142,14,reviewed,us,us
2016-03-23T04:55:04.000Z,51.6186,-173.5069,46.4,4,ml,,,,0.66,ak,ak13053267,2016-03-23T17:05:18.639Z,"80km SE of Atka, Alaska",earthquake,4,6,,,reviewed,ak,ak
2016-03-23T01:42:00.400Z,18.94,-68.2655,64,2.9,Md,8,273.6,0.43747954,0.31,pr,pr16083000,2016-03-23T09:44:40.272Z,"42km NNE of Punta Cana, Dominican Republic",earthquake,4.6,4.4,0,6,reviewed,pr,pr
2016-03-23T01:32:39.400Z,0.4408,123.8034,218.48,4.1,mb,,76,1.798,1.09,us,us20005bxw,2016-03-23T09:35:22.563Z,"20km WNW of Molibagu, Indonesia",earthquake,8.4,4.5,0.117,20,reviewed,us,us
2016-03-23T01:12:47.620Z,13.3257,-89.0789,69.06,4.2,mb,,161,0.388,1.23,us,us20005bxt,2016-03-23T09:15:29.984Z,"19km SSW of El Rosario, El Salvador",earthquake,7.8,9.1,0.079,45,reviewed,us,us
2016-03-23T00:38:00.490Z,-31.7701,-71.4228,45.54,4.8,mb,,142,0.67,0.68,us,us20005bxq,2016-03-23T01:01:12.981Z,"28km WSW of Illapel, Chile",earthquake,4.7,7,0.062,80,reviewed,us,us
2016-03-23T00:17:03.940Z,-14.9215,167.2926,125.51,4.6,mb,,178,0.529,1.33,us,us20005bxr,2016-03-23T08:19:30.602Z,"29km ENE of Port-Olry, Vanuatu",earthquake,15.3,5.5,0.158,12,reviewed,us,us
2016-03-22T23:17:49.500Z,18.089,-67.2061,22,2.5,Md,8,187.2,0.12217088,0.21,pr,pr16082008,2016-03-23T07:20:50.703Z,"2km NW of Puerto Real, Puerto Rico",earthquake,0.6,1.1,0,7,reviewed,pr,pr
2016-03-22T22:14:47.400Z,-2.8607,129.7825,10,4.5,mb,,90,4.341,0.9,us,us20005bwq,2016-03-23T06:17:18.845Z,"109km ENE of Amahai, Indonesia",earthquake,8.3,1.9,0.099,30,reviewed,us,us
2016-03-22T20:24:20.310Z,34.9876,33.8226,57.83,4,mb,,109,0.404,1.02,us,us20005bvd,2016-03-23T07:26:47.361Z,"5km SSW of Avgorou, Cyprus",earthquake,7.7,8.6,0.111,25,reviewed,us,us
2016-03-22T20:14:55.390Z,36.5096,71.1374,95.23,4.5,mb,,184,0.762,0.99,us,us20005bv2,2016-03-23T04:17:24.140Z,"40km WSW of Ashkasham, Afghanistan",earthquake,7.7,7.9,0.171,10,reviewed,us,us
2016-03-22T19:37:09.000Z,59.2873,-153.629,120.9,2.7,ml,,,,0.85,ak,ak13047724,2016-03-23T03:39:46.032Z,"89km SE of Old Iliamna, Alaska",earthquake,1,0.5,,,automatic,ak,ak
2016-03-22T18:47:04.500Z,1.6873,125.3344,118.17,5,mb,,60,2.226,1.3,us,us20005bu1,2016-03-23T02:49:32.560Z,"31km NNE of Bitung, Indonesia",earthquake,6.5,6.3,0.066,74,reviewed,us,us
2016-03-22T18:44:41.900Z,18.8794,-64.458,24,3,Md,9,298.8,0.48419194,0.1,pr,pr16082005,2016-03-23T02:47:23.656Z,"53km NNE of Road Town, British Virgin Islands",earthquake,1.6,9.5,0,8,reviewed,pr,pr
2016-03-22T17:41:17.770Z,36.4718,-98.7395,8.93,2.5,mb_lg,,70,0.006,0.45,us,us20005bte,2016-03-23T01:43:51.888Z,"32km NW of Fairview, Oklahoma",earthquake,1.2,1.7,0.361,2,reviewed,us,us
2016-03-22T17:29:33.120Z,6.091,126.9903,138.53,4.8,mb,,46,1.706,0.89,us,us20005bsq,2016-03-23T01:32:16.829Z,"94km ESE of Pondaguitan, Philippines",earthquake,7.1,4.6,0.053,109,reviewed,us,us
2016-03-22T14:32:38.300Z,1.0664,126.4546,51.23,4.5,mb,,81,0.957,0.55,us,us20005bqa,2016-03-22T22:35:25.255Z,"106km WNW of Kota Ternate, Indonesia",earthquake,8,8.7,0.093,34,reviewed,us,us
2016-03-22T14:21:09.000Z,60.9319,-150.6333,48.9,2.5,ml,,,,0.61,ak,ak13044612,2016-03-22T22:23:42.478Z,"44km N of Sterling, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-03-22T14:09:35.860Z,17.3292,-61.5864,42.15,4.6,mb,,124,0.387,0.63,us,us20005bq0,2016-03-23T00:59:13.212Z,"32km NE of Parham, Antigua and Barbuda",earthquake,5.3,7,0.046,145,reviewed,us,us
2016-03-22T13:44:13.223Z,38.4758,-118.3792,5.4,2.5,ml,16,81.5,0.052,0.1812,nn,nn00536856,2016-03-23T03:37:54.399Z,"22km ESE of Hawthorne, Nevada",earthquake,1.01,2.9,0.35,5,reviewed,nn,nn
2016-03-22T13:25:17.990Z,35.7435,31.7412,60.45,4.5,mb,,52,1.516,0.74,us,us20005bpy,2016-03-22T21:27:47.462Z,"78km SW of Gazipasa, Turkey",earthquake,6.5,7.9,0.059,83,reviewed,us,us
2016-03-22T12:48:15.750Z,52.0152,157.6122,118.85,4.4,mb,,165,1.096,0.82,us,us20005bpu,2016-03-22T20:51:09.766Z,"94km NE of Ozernovskiy, Russia",earthquake,10.5,7.1,0.062,75,reviewed,us,us
2016-03-22T12:35:34.048Z,38.653,-118.7938,8.8,2.8,ml,22,61.63,0.187,0.1846,nn,nn00536848,2016-03-23T03:31:14.289Z,"20km NW of Hawthorne, Nevada",earthquake,1.09,1.5,0.31,9,reviewed,nn,nn
2016-03-22T10:56:17.700Z,-4.466,35.9758,10,4.8,mb,,77,2.939,0.78,us,us20005bph,2016-03-22T12:57:37.173Z,"26km SSE of Galappo, Tanzania",earthquake,8.7,1.8,0.094,35,reviewed,us,us
2016-03-22T10:26:44.600Z,35.8729,-97.3102,6.497,2.6,ml,,54,,0.19,us,us20005bpf,2016-03-23T05:12:20.364Z,"9km SSW of Langston, Oklahoma",earthquake,1.1,3.4,,,reviewed,tul,tul
2016-03-22T10:00:45.356Z,38.6555,-118.7841,10.9,4.1,ml,53,57.31,0.184,0.2403,nn,nn00536804,2016-03-23T13:58:23.954Z,"19km NW of Hawthorne, Nevada",earthquake,0.64,1.1,0.35,33,reviewed,nn,nn
2016-03-22T09:31:47.800Z,32.1153333,-115.07,18.38,3.18,ml,19,129,0.1871,0.29,ci,ci37538432,2016-03-22T18:44:39.989Z,"11km SW of Estacion Coahuila, B.C., MX",earthquake,1.1,1.26,0.188,73,reviewed,ci,ci
2016-03-22T06:08:21.000Z,60.0564,-152.7748,118,2.5,ml,,,,0.49,ak,ak13040806,2016-03-22T14:10:59.090Z,"47km S of Redoubt Volcano, Alaska",earthquake,1.4,1.1,,,automatic,ak,ak
2016-03-22T05:34:22.140Z,36.7983,140.5182,10,4.8,mb,,125,0.624,1.37,us,us20005bni,2016-03-22T12:47:58.618Z,"15km ENE of Daigo, Japan",earthquake,6.8,1,0.04,190,reviewed,us,us
2016-03-22T04:55:56.220Z,54.3103,162.9411,47.82,4.7,mb,,108,2.86,0.71,us,us20005bnd,2016-03-22T12:58:24.621Z,"215km S of Ust'-Kamchatsk Staryy, Russia",earthquake,8.7,7.6,0.052,110,reviewed,us,us
2016-03-22T04:48:56.040Z,-20.1614,-178.9475,672.03,4.4,mb,,47,8.57,0.86,us,us20005bnb,2016-03-22T12:51:23.218Z,"59km NNW of Ndoi Island, Fiji",earthquake,6.7,10.3,0.056,91,reviewed,us,us
2016-03-22T02:59:58.000Z,45.595,-75.028,18,2.8,mb_lg,,,,1.15,us,us20005bmy,2016-03-22T21:52:05.897Z,"2km SSW of Papineauville, Canada",earthquake,3.2,2,,,reviewed,ott,ott
2016-03-22T02:42:04.000Z,51.4001,-174.0743,8.1,3.4,ml,,,,0.43,ak,ak13038583,2016-03-22T17:48:01.078Z,"88km S of Atka, Alaska",earthquake,8.1,8.2,,,reviewed,ak,ak
2016-03-22T01:23:16.760Z,36.0558,-97.2456,9.69,2.6,mb_lg,,66,0.249,0.43,us,us20005bm0,2016-03-22T18:48:28.156Z,"12km N of Langston, Oklahoma",earthquake,0.6,5.9,0.093,30,reviewed,us,us
2016-03-22T00:43:31.360Z,18.1738,-75.8993,10,3.8,ml,,60,1.555,1.2,us,us20005btr,2016-03-22T18:55:12.512Z,"43km ENE of Manchioneal, Jamaica",earthquake,6.3,2,0.105,12,reviewed,us,us
2016-03-22T00:41:17.000Z,51.3626,-174.3607,8.2,2.6,ml,,,,0.15,ak,ak13037111,2016-03-22T17:22:18.913Z,"93km S of Atka, Alaska",earthquake,11,10.1,,,reviewed,ak,ak
2016-03-22T00:27:56.780Z,-20.0578,-177.6144,505.64,4.3,mb,,109,7.313,1.39,us,us20005blu,2016-03-22T08:30:27.333Z,"130km ENE of Ndoi Island, Fiji",earthquake,12.8,9.4,0.055,93,reviewed,us,us
2016-03-22T00:06:58.990Z,35.9374,-96.7403,5.4,2.6,mb_lg,,63,0.03,0.53,us,us20005blm,2016-03-22T08:09:37.481Z,"5km SSE of Cushing, Oklahoma",earthquake,1.2,3,0.161,10,reviewed,us,us
2016-03-21T23:35:30.970Z,36.8842,-98.2739,5.28,2.5,mb_lg,,58,0.095,0.43,us,us20005ble,2016-03-22T07:38:08.901Z,"16km NNE of Cherokee, Oklahoma",earthquake,1.4,5.6,0.106,23,reviewed,us,us
2016-03-21T23:31:27.004Z,38.4742,-118.3745,3.7,3,ml,37,50.16,0.049,0.1557,nn,nn00536692,2016-03-22T07:34:01.648Z,"22km ESE of Hawthorne, Nevada",earthquake,0.68,1.8,0.27,15,reviewed,nn,nn
2016-03-21T22:41:18.000Z,36.3828,-98.4366,4.34,2.8,mb_lg,,74,0.114,0.36,us,us20005bl8,2016-03-21T23:38:07.521Z,"13km NNE of Fairview, Oklahoma",earthquake,1.1,3.2,0.078,43,reviewed,us,us
2016-03-21T21:29:30.580Z,3.1176,97.9114,87.35,4.7,mb,,49,1.832,1.23,us,us20005bje,2016-03-22T05:32:03.949Z,"64km W of Kabanjahe, Indonesia",earthquake,6.8,5.7,0.063,76,reviewed,us,us
2016-03-21T20:55:50.000Z,67.0629,-156.3144,22.9,2.5,ml,,,,0.99,ak,ak13034792,2016-03-22T04:58:25.783Z,"30km NE of Kobuk, Alaska",earthquake,5.6,4.7,,,reviewed,ak,ak
2016-03-21T19:28:46.070Z,20.1358333,-155.846,23.434,2.88,ml,11,274,0.06533,0.12,hv,hv61208741,2016-03-21T21:39:53.040Z,"11km SSW of Kapaau, Hawaii",earthquake,1.06,1.29,0.131,5,reviewed,hv,hv
2016-03-21T18:36:06.130Z,-6.0549,101.8547,10,4.7,mb,,207,2.008,0.81,us,us20005bhx,2016-03-22T02:39:09.363Z,"239km WSW of Kuripan, Indonesia",earthquake,6.8,1.8,0.093,35,reviewed,us,us
2016-03-21T18:06:04.000Z,61.2423,-150.6586,33.9,2.7,ml,,,,0.56,ak,ak13034053,2016-03-21T21:14:38.212Z,"40km W of Anchorage, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-03-21T17:12:23.790Z,35.4865,99.4202,14.89,4.2,mb,,155,11.837,0.93,us,us20005bgz,2016-03-22T01:14:55.780Z,"53km W of Sangdang, China",earthquake,14,7,0.128,17,reviewed,us,us
2016-03-21T16:23:41.200Z,19.0988,-66.785,30,2.7,Md,13,252,0.66385499,0.4,pr,pr16081002,2016-03-22T00:26:10.664Z,"67km N of Hatillo, Puerto Rico",earthquake,1.7,11.8,0,10,reviewed,pr,pr
2016-03-21T16:04:53.000Z,60.2307,-149.4454,24.5,2.6,ml,,,,0.71,ak,ak13033329,2016-03-22T00:07:23.873Z,"7km NNW of Bear Creek, Alaska",earthquake,0.5,0.3,,,automatic,ak,ak
2016-03-21T15:51:17.580Z,-30.5492,-72.0644,6.52,4.5,mb,,190,0.39,0.89,us,us20005bg9,2016-03-21T23:53:44.680Z,"83km W of Ovalle, Chile",earthquake,5.1,5.9,0.27,4,reviewed,us,us
2016-03-21T15:43:43.000Z,51.3794,-174.2566,4.8,3.9,ml,,,,0.5,ak,ak13033324,2016-03-21T23:46:25.508Z,"90km S of Atka, Alaska",earthquake,5.3,1.8,,,reviewed,ak,ak
2016-03-21T15:32:32.000Z,51.4867,-174.3876,2.3,3.6,ml,,,,0.69,ak,ak13033320,2016-03-21T23:35:07.996Z,"79km S of Atka, Alaska",earthquake,2.8,0.8,,,reviewed,ak,ak
2016-03-21T15:23:33.130Z,22.3955,143.5513,117.68,4.5,mb,,112,4.841,0.71,us,us20005bgd,2016-03-21T23:26:14.822Z,"248km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.5,7.3,0.054,102,reviewed,us,us
2016-03-21T15:03:19.160Z,19.3916667,-155.2761667,2.743,2.64,ml,47,42,0.004385,0.1,hv,hv61208616,2016-03-21T23:05:51.607Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.12,0.184,22,reviewed,hv,hv
2016-03-21T14:50:45.680Z,36.4406,-98.7778,5,2.6,mb_lg,,109,0.026,0.5,us,us20005bfs,2016-03-22T03:59:55.700Z,"32km NW of Fairview, Oklahoma",earthquake,1.6,1.6,0.228,5,reviewed,us,us
2016-03-21T14:48:51.330Z,27.7734,66.1026,10,5.3,mb,,38,7.2,0.52,us,us20005bft,2016-03-22T03:46:17.040Z,"53km W of Khuzdar, Pakistan",earthquake,7.7,1.8,0.039,223,reviewed,us,us
2016-03-21T14:21:08.000Z,19.387,-155.2433333,2.701,2.86,ml,37,51,0.007674,0.08,hv,hv61208591,2016-03-21T22:23:49.214Z,"4km S of Volcano, Hawaii",earthquake,0.2,0.17,0.171,18,reviewed,hv,hv
2016-03-21T14:14:57.000Z,53.86,-160.9568,35.1,3.1,ml,,,,1.04,ak,ak13031908,2016-03-21T22:17:32.932Z,"137km SW of Chernabura Island, Alaska",earthquake,3.8,2.2,,,reviewed,ak,ak
2016-03-21T14:14:44.000Z,60.972,-151.177,62.2,2.6,ml,,,,0.57,ak,ak13031904,2016-03-21T15:43:41.302Z,"31km N of Nikiski, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-03-21T14:06:04.910Z,35.7253,99.2658,14.5,4.9,mb,,45,9.111,0.78,us,us20005bfp,2016-03-21T22:08:42.723Z,"68km WSW of Heka, China",earthquake,8.8,4.4,0.073,58,reviewed,us,us
2016-03-21T13:18:23.510Z,43.2626,-71.7809,6.79,2.9,mb_lg,,103,0.227,0.57,us,us20005bfm,2016-03-21T17:39:24.504Z,"7km NW of Contoocook, New Hampshire",earthquake,1.4,7.5,0.095,29,reviewed,us,us
2016-03-21T13:18:10.065Z,38.471,-118.3575,6.2,3.3,ml,25,44.82,0.039,0.1864,nn,nn00536452,2016-03-22T02:55:29.461Z,"23km ESE of Hawthorne, Nevada",earthquake,0.98,1.4,0.38,9,reviewed,nn,nn
2016-03-21T11:11:03.000Z,51.4003,-174.4192,1.4,3.3,ml,,,,0.54,ak,ak13031194,2016-03-21T19:13:48.070Z,"89km S of Atka, Alaska",earthquake,4.5,1.2,,,reviewed,ak,ak
2016-03-21T10:46:49.912Z,38.4794,-118.3743,5.8,3.1,ml,30,45.55,0.053,0.191,nn,nn00536423,2016-03-22T02:54:31.603Z,"22km ESE of Hawthorne, Nevada",earthquake,0.87,1.9,0.48,20,reviewed,nn,nn
2016-03-21T09:48:18.000Z,57.7552,-154.095,5.5,2.7,ml,,,,0.47,ak,ak13030494,2016-03-21T17:50:58.900Z,"24km NNW of Larsen Bay, Alaska",earthquake,3.1,3.2,,,automatic,ak,ak
2016-03-21T08:31:17.060Z,-5.4139,-77.7318,48.42,4.6,mb,,148,5.498,0.87,us,us20005bep,2016-03-21T16:33:48.549Z,"80km ENE of La Peca, Peru",earthquake,8.7,8.5,0.056,96,reviewed,us,us
2016-03-21T07:37:10.535Z,38.4792,-118.3662,9.9,4.3,ml,61,29.5,0.05,0.2352,nn,nn00536374,2016-03-22T03:11:47.798Z,"23km ESE of Hawthorne, Nevada",earthquake,0.74,0.7,0.38,39,reviewed,nn,nn
2016-03-21T06:33:01.360Z,38.1998333,-121.8003333,23.54,2.58,md,42,111,0.04501,0.15,nc,nc72610155,2016-03-22T21:09:06.119Z,"10km WNW of Rio Vista, California",earthquake,0.25,0.32,0.241,52,reviewed,nc,nc
2016-03-21T06:28:56.000Z,59.6796,-153.2975,102.6,2.6,ml,,,,0.57,ak,ak13028370,2016-03-21T14:31:22.763Z,"83km W of Anchor Point, Alaska",earthquake,2.1,1.2,,,automatic,ak,ak
2016-03-21T04:51:17.560Z,36.5232,-98.9605,2.9,2.6,mb_lg,,70,0.113,0.4,us,us20005bdv,2016-03-21T12:53:54.963Z,"23km ENE of Mooreland, Oklahoma",earthquake,2,4.5,0.1,26,reviewed,us,us
2016-03-21T04:36:27.100Z,19.6807,-64.2218,50,3.6,Md,6,327.6,1.49210169,0.27,pr,pr16081001,2016-03-21T12:39:05.858Z,"145km NNE of Road Town, British Virgin Islands",earthquake,4.7,17.2,0,4,reviewed,pr,pr
2016-03-21T03:29:33.840Z,40.2328,98.184,15.24,4.8,mb,,64,9.623,0.97,us,us20005bdh,2016-03-21T11:32:15.919Z,"47km NNW of Jiayuguan, China",earthquake,9.1,4.4,0.068,66,reviewed,us,us
2016-03-21T02:51:26.700Z,19.1452,-63.5435,58,3.3,Md,6,327.6,1.55049218,0.17,pr,pr16081000,2016-03-21T10:54:12.213Z,"114km NNW of The Valley, Anguilla",earthquake,2.4,10,0,4,reviewed,pr,pr
2016-03-21T02:25:09.850Z,-6.578,105.3558,78.15,4.6,mb,,100,3.249,1.39,us,us20005bd6,2016-03-21T03:14:47.385Z,"32km WNW of Babakantonggoh, Indonesia",earthquake,7.6,7.4,0.067,67,reviewed,us,us
2016-03-21T01:43:03.800Z,-17.9013,-178.483,590.72,4.4,mb,,171,7.573,0.75,us,us20005bd1,2016-03-21T09:45:45.284Z,"280km SE of Lambasa, Fiji",earthquake,15.4,13.8,0.123,19,reviewed,us,us
2016-03-21T00:34:52.010Z,1.2398,122.5955,55.82,4.7,mb,,57,1.817,1.11,us,us20005bcv,2016-03-21T08:37:36.448Z,"65km N of Sidomulyo, Indonesia",earthquake,6.1,4.7,0.076,52,reviewed,us,us
2016-03-21T00:25:57.120Z,37.5941,-97.8383,7.73,2.8,mb_lg,,37,0.322,0.44,us,us20005bcu,2016-03-21T11:14:33.162Z,"6km SW of Cheney, Kansas",earthquake,3.2,7.6,0.077,44,reviewed,us,us
2016-03-20T23:23:09.790Z,-31.4534,-71.7955,24.13,4.7,mb,,143,0.724,0.83,us,us20005bbr,2016-03-21T07:25:46.226Z,"62km WNW of Illapel, Chile",earthquake,4.4,5.8,0.108,26,reviewed,us,us
2016-03-20T22:50:20.720Z,54.3325,162.7988,31.31,6.4,mwc,,20,2.794,0.71,us,us20005bbh,2016-03-21T03:56:29.000Z,"211km S of Ust'-Kamchatsk Staryy, Russia",earthquake,7.2,3.4,0.033,89,reviewed,us,us
2016-03-20T22:12:09.640Z,35.5308333,-116.4205,3.75,2.55,ml,16,87,0.3889,0.15,ci,ci37537888,2016-03-21T18:32:20.040Z,"38km NE of Fort Irwin, California",earthquake,0.31,1.67,0.167,99,reviewed,ci,ci
2016-03-20T21:57:59.090Z,37.0998333,-117.877,3.55,2.79,ml,27,75,0.2274,0.22,ci,ci37537872,2016-03-21T19:33:51.338Z,"37km E of Big Pine, California",earthquake,0.28,31.61,0.21,51,reviewed,ci,ci
2016-03-20T21:06:42.000Z,63.12,-150.8197,133.7,2.6,ml,,,,0.36,ak,ak13022189,2016-03-21T05:09:24.176Z,"95km NNW of Talkeetna, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-03-20T20:54:00.880Z,36.2872,-97.5245,5,3,mb_lg,,53,0.207,0.27,us,us20005bad,2016-03-20T21:38:33.077Z,"21km W of Perry, Oklahoma",earthquake,1.6,2,0.065,62,reviewed,us,us
2016-03-20T20:13:03.330Z,19.2086658,-155.4276733,35.12,2.56,md,59,138,0.04044,0.13,hv,hv61208046,2016-03-21T17:13:58.149Z,"5km E of Pahala, Hawaii",earthquake,0.44,0.52,0.26,42,automatic,hv,hv
2016-03-20T19:30:56.260Z,38.8383333,-122.7648333,0.84,3.05,ml,42,78,0.003911,0.06,nc,nc72609930,2016-03-22T04:05:06.001Z,"4km WNW of Cobb, California",earthquake,0.14,0.11,0.198,45,reviewed,nc,nc
2016-03-20T19:30:53.180Z,38.8391667,-122.7638333,0.77,2.89,md,58,47,0.00371,0.08,nc,nc72609920,2016-03-22T02:04:05.354Z,"4km WNW of Cobb, California",earthquake,0.11,0.2,0.07,2,reviewed,nc,nc
2016-03-20T18:26:46.880Z,10.1159,126.1982,64.08,4.4,mb,,144,3.088,0.69,us,us20005b9l,2016-03-21T02:29:31.567Z,"17km NE of San Isidro, Philippines",earthquake,10,9.7,0.124,19,reviewed,us,us
2016-03-20T18:22:55.380Z,36.6512,71.4134,240.6,4.3,mb,,152,0.821,0.6,us,us20005b9i,2016-03-21T02:25:32.618Z,"11km WSW of Ashkasham, Afghanistan",earthquake,9.7,7.4,0.111,23,reviewed,us,us
2016-03-20T18:15:40.560Z,-21.5823,169.3933,10,4.7,mb,,96,1.272,0.55,us,us20005b9d,2016-03-21T02:18:17.476Z,"156km E of Tadine, New Caledonia",earthquake,7.5,2,0.153,13,reviewed,us,us
2016-03-20T18:15:07.610Z,43.9864,-128.7133,10,3.4,ml,,236,3.381,0.68,us,us20005b9f,2016-03-20T23:25:19.545Z,"Off the coast of Oregon",earthquake,4.7,2,0.053,46,reviewed,us,us
2016-03-20T17:23:04.230Z,36.127,-89.7283333,9.07,2.61,md,59,25,0.02244,0.11,nm,nm60133096,2016-03-21T12:51:29.927Z,"9km SW of Caruthersville, Missouri",earthquake,0.13,0.34,0.164,26,reviewed,nm,nm
2016-03-20T17:02:29.660Z,51.2576,-174.155,10,4.1,mb,,229,1.452,0.91,us,us20005b96,2016-03-21T01:05:26.330Z,"104km S of Atka, Alaska",earthquake,7.8,2,0.084,39,reviewed,us,us
2016-03-20T16:54:13.120Z,29.9582,93.1727,10,4.7,mb,,61,1.795,0.67,us,us20005b94,2016-03-21T00:56:44.727Z,"13km WNW of Xarlung, China",earthquake,8,1.8,0.05,121,reviewed,us,us
2016-03-20T16:43:59.650Z,19.8465,-155.6991667,32.356,4.59,ml,27,112,0.04057,0.1,hv,hv61207881,2016-03-23T16:28:29.724Z,"13km SE of Waikoloa, Hawaii",earthquake,0.55,0.79,0.182,17,reviewed,hv,hv
2016-03-20T15:18:46.040Z,54.0296,158.53,167.68,4.4,mb,,84,1.01,0.7,us,us20005b8r,2016-03-20T23:21:15.188Z,"94km N of Yelizovo, Russia",earthquake,10.7,6.8,0.041,167,reviewed,us,us
2016-03-20T13:08:33.000Z,59.8025,-153.0906,95.3,3,ml,,,,0.6,ak,ak13016939,2016-03-20T21:11:56.949Z,"70km W of Anchor Point, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-03-20T10:19:12.920Z,49.6066,-28.5578,15.43,4.4,mb,,137,16.423,0.87,us,us20005b83,2016-03-20T18:21:44.908Z,"Northern Mid-Atlantic Ridge",earthquake,13.1,5.3,0.095,32,reviewed,us,us
2016-03-20T08:34:02.040Z,-23.3187,-66.6469,197.35,4.9,mb,,43,2.202,1.11,us,us20005b7p,2016-03-20T16:36:31.620Z,"98km W of El Aguilar, Argentina",earthquake,7.5,6.1,0.028,412,reviewed,us,us
2016-03-20T08:29:56.030Z,36.4713,-98.5268,5,3,mb_lg,,58,0.006,0.2,us,us20005b7m,2016-03-20T23:04:03.341Z,"22km N of Fairview, Oklahoma",earthquake,0.8,1.8,0.061,70,reviewed,us,us
2016-03-20T07:46:23.610Z,31.0394,141.4886,74.83,4.6,mb,,132,2.511,0.86,us,us20005b7g,2016-03-20T15:48:54.498Z,"277km SE of Hachijo-jima, Japan",earthquake,3.9,9.4,0.117,22,reviewed,us,us
2016-03-20T07:14:54.730Z,36.1944,-96.7872,5,3,mb_lg,,70,0.068,0.46,us,us20005b7c,2016-03-20T15:17:36.819Z,"11km NW of Yale, Oklahoma",earthquake,1.4,2,0.065,62,reviewed,us,us
2016-03-20T07:01:40.240Z,35.9917,139.4003,92.84,4.2,mb,,104,0.683,0.8,us,us20005b7b,2016-03-21T10:23:21.253Z,"3km NNE of Sakado, Japan",earthquake,5.2,2.5,0.147,13,reviewed,us,us
2016-03-20T06:06:23.700Z,18.5415,-68.9815,114,4.6,Md,22,194.4,0.45095427,0.62,pr,pr16080002,2016-03-23T05:23:41.689Z,"5km S of Guaymate, Dominican Republic",earthquake,4.9,2.5,0,16,reviewed,pr,pr
