time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-23T17:45:54.000Z,59.8217,-151.9405,53.6,3,ml,,,,0.51,ak,ak13058971,2016-03-23T18:05:36.113Z,"7km NW of Anchor Point, Alaska",earthquake,0.6,0.8,,,automatic,ak,ak
2016-03-23T16:29:56.000Z,54.2871,-162.8332,41.3,4.4,ml,,,,0.54,ak,ak13058141,2016-03-23T17:40:23.958Z,"73km SSE of False Pass, Alaska",earthquake,0.8,0.5,,,reviewed,ak,ak
2016-03-23T14:36:11.000Z,63.2188,-149.3794,81.2,2.5,ml,,,,0.69,ak,ak13058128,2016-03-23T15:21:15.345Z,"28km SW of Cantwell, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-03-23T11:45:16.750Z,36.8632,-98.3409,4.08,2.9,mb_lg,,86,0.12,0.2,us,us20005c0j,2016-03-23T11:57:08.925Z,"12km N of Cherokee, Oklahoma",earthquake,1.7,7.8,0.081,40,reviewed,us,us
2016-03-23T04:55:04.000Z,51.6186,-173.5069,46.4,4,ml,,,,0.66,ak,ak13053267,2016-03-23T17:05:18.639Z,"80km SE of Atka, Alaska",earthquake,4,6,,,reviewed,ak,ak
2016-03-22T19:37:09.000Z,59.2873,-153.629,120.9,2.7,ml,,,,0.85,ak,ak13047724,2016-03-23T03:39:46.032Z,"89km SE of Old Iliamna, Alaska",earthquake,1,0.5,,,automatic,ak,ak
2016-03-22T17:41:17.770Z,36.4718,-98.7395,8.93,2.5,mb_lg,,70,0.006,0.45,us,us20005bte,2016-03-23T01:43:51.888Z,"32km NW of Fairview, Oklahoma",earthquake,1.2,1.7,0.361,2,reviewed,us,us
2016-03-22T14:21:09.000Z,60.9319,-150.6333,48.9,2.5,ml,,,,0.61,ak,ak13044612,2016-03-22T22:23:42.478Z,"44km N of Sterling, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-03-22T13:44:13.223Z,38.4758,-118.3792,5.4,2.5,ml,16,81.5,0.052,0.1812,nn,nn00536856,2016-03-23T03:37:54.399Z,"22km ESE of Hawthorne, Nevada",earthquake,1.01,2.9,0.35,5,reviewed,nn,nn
2016-03-22T12:35:34.048Z,38.653,-118.7938,8.8,2.8,ml,22,61.63,0.187,0.1846,nn,nn00536848,2016-03-23T03:31:14.289Z,"20km NW of Hawthorne, Nevada",earthquake,1.09,1.5,0.31,9,reviewed,nn,nn
2016-03-22T10:26:44.600Z,35.8729,-97.3102,6.497,2.6,ml,,54,,0.19,us,us20005bpf,2016-03-23T05:12:20.364Z,"9km SSW of Langston, Oklahoma",earthquake,1.1,3.4,,,reviewed,tul,tul
2016-03-22T10:00:45.356Z,38.6555,-118.7841,10.9,4.1,ml,53,57.31,0.184,0.2403,nn,nn00536804,2016-03-23T13:58:23.954Z,"19km NW of Hawthorne, Nevada",earthquake,0.64,1.1,0.35,33,reviewed,nn,nn
2016-03-22T06:08:21.000Z,60.0564,-152.7748,118,2.5,ml,,,,0.49,ak,ak13040806,2016-03-22T14:10:59.090Z,"47km S of Redoubt Volcano, Alaska",earthquake,1.4,1.1,,,automatic,ak,ak
2016-03-22T02:42:04.000Z,51.4001,-174.0743,8.1,3.4,ml,,,,0.43,ak,ak13038583,2016-03-22T17:48:01.078Z,"88km S of Atka, Alaska",earthquake,8.1,8.2,,,reviewed,ak,ak
2016-03-22T01:23:16.760Z,36.0558,-97.2456,9.69,2.6,mb_lg,,66,0.249,0.43,us,us20005bm0,2016-03-22T18:48:28.156Z,"12km N of Langston, Oklahoma",earthquake,0.6,5.9,0.093,30,reviewed,us,us
2016-03-22T00:41:17.000Z,51.3626,-174.3607,8.2,2.6,ml,,,,0.15,ak,ak13037111,2016-03-22T17:22:18.913Z,"93km S of Atka, Alaska",earthquake,11,10.1,,,reviewed,ak,ak
2016-03-22T00:06:58.990Z,35.9374,-96.7403,5.4,2.6,mb_lg,,63,0.03,0.53,us,us20005blm,2016-03-22T08:09:37.481Z,"5km SSE of Cushing, Oklahoma",earthquake,1.2,3,0.161,10,reviewed,us,us
2016-03-21T23:35:30.970Z,36.8842,-98.2739,5.28,2.5,mb_lg,,58,0.095,0.43,us,us20005ble,2016-03-22T07:38:08.901Z,"16km NNE of Cherokee, Oklahoma",earthquake,1.4,5.6,0.106,23,reviewed,us,us
2016-03-21T23:31:27.004Z,38.4742,-118.3745,3.7,3,ml,37,50.16,0.049,0.1557,nn,nn00536692,2016-03-22T07:34:01.648Z,"22km ESE of Hawthorne, Nevada",earthquake,0.68,1.8,0.27,15,reviewed,nn,nn
2016-03-21T22:41:18.000Z,36.3828,-98.4366,4.34,2.8,mb_lg,,74,0.114,0.36,us,us20005bl8,2016-03-21T23:38:07.521Z,"13km NNE of Fairview, Oklahoma",earthquake,1.1,3.2,0.078,43,reviewed,us,us
2016-03-21T20:55:50.000Z,67.0629,-156.3144,22.9,2.5,ml,,,,0.99,ak,ak13034792,2016-03-22T04:58:25.783Z,"30km NE of Kobuk, Alaska",earthquake,5.6,4.7,,,reviewed,ak,ak
2016-03-21T19:28:46.070Z,20.1358333,-155.846,23.434,2.88,ml,11,274,0.06533,0.12,hv,hv61208741,2016-03-21T21:39:53.040Z,"11km SSW of Kapaau, Hawaii",earthquake,1.06,1.29,0.131,5,reviewed,hv,hv
2016-03-21T18:06:04.000Z,61.2423,-150.6586,33.9,2.7,ml,,,,0.56,ak,ak13034053,2016-03-21T21:14:38.212Z,"40km W of Anchorage, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-03-21T16:04:53.000Z,60.2307,-149.4454,24.5,2.6,ml,,,,0.71,ak,ak13033329,2016-03-22T00:07:23.873Z,"7km NNW of Bear Creek, Alaska",earthquake,0.5,0.3,,,automatic,ak,ak
2016-03-21T15:43:43.000Z,51.3794,-174.2566,4.8,3.9,ml,,,,0.5,ak,ak13033324,2016-03-21T23:46:25.508Z,"90km S of Atka, Alaska",earthquake,5.3,1.8,,,reviewed,ak,ak
2016-03-21T15:32:32.000Z,51.4867,-174.3876,2.3,3.6,ml,,,,0.69,ak,ak13033320,2016-03-21T23:35:07.996Z,"79km S of Atka, Alaska",earthquake,2.8,0.8,,,reviewed,ak,ak
2016-03-21T15:03:19.160Z,19.3916667,-155.2761667,2.743,2.64,ml,47,42,0.004385,0.1,hv,hv61208616,2016-03-21T23:05:51.607Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.12,0.184,22,reviewed,hv,hv
2016-03-21T14:50:45.680Z,36.4406,-98.7778,5,2.6,mb_lg,,109,0.026,0.5,us,us20005bfs,2016-03-22T03:59:55.700Z,"32km NW of Fairview, Oklahoma",earthquake,1.6,1.6,0.228,5,reviewed,us,us
2016-03-21T14:21:08.000Z,19.387,-155.2433333,2.701,2.86,ml,37,51,0.007674,0.08,hv,hv61208591,2016-03-21T22:23:49.214Z,"4km S of Volcano, Hawaii",earthquake,0.2,0.17,0.171,18,reviewed,hv,hv
2016-03-21T14:14:57.000Z,53.86,-160.9568,35.1,3.1,ml,,,,1.04,ak,ak13031908,2016-03-21T22:17:32.932Z,"137km SW of Chernabura Island, Alaska",earthquake,3.8,2.2,,,reviewed,ak,ak
2016-03-21T14:14:44.000Z,60.972,-151.177,62.2,2.6,ml,,,,0.57,ak,ak13031904,2016-03-21T15:43:41.302Z,"31km N of Nikiski, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-03-21T13:18:23.510Z,43.2626,-71.7809,6.79,2.9,mb_lg,,103,0.227,0.57,us,us20005bfm,2016-03-21T17:39:24.504Z,"7km NW of Contoocook, New Hampshire",earthquake,1.4,7.5,0.095,29,reviewed,us,us
2016-03-21T13:18:10.065Z,38.471,-118.3575,6.2,3.3,ml,25,44.82,0.039,0.1864,nn,nn00536452,2016-03-22T02:55:29.461Z,"23km ESE of Hawthorne, Nevada",earthquake,0.98,1.4,0.38,9,reviewed,nn,nn
2016-03-21T11:11:03.000Z,51.4003,-174.4192,1.4,3.3,ml,,,,0.54,ak,ak13031194,2016-03-21T19:13:48.070Z,"89km S of Atka, Alaska",earthquake,4.5,1.2,,,reviewed,ak,ak
2016-03-21T10:46:49.912Z,38.4794,-118.3743,5.8,3.1,ml,30,45.55,0.053,0.191,nn,nn00536423,2016-03-22T02:54:31.603Z,"22km ESE of Hawthorne, Nevada",earthquake,0.87,1.9,0.48,20,reviewed,nn,nn
2016-03-21T09:48:18.000Z,57.7552,-154.095,5.5,2.7,ml,,,,0.47,ak,ak13030494,2016-03-21T17:50:58.900Z,"24km NNW of Larsen Bay, Alaska",earthquake,3.1,3.2,,,automatic,ak,ak
2016-03-21T07:37:10.535Z,38.4792,-118.3662,9.9,4.3,ml,61,29.5,0.05,0.2352,nn,nn00536374,2016-03-22T03:11:47.798Z,"23km ESE of Hawthorne, Nevada",earthquake,0.74,0.7,0.38,39,reviewed,nn,nn
2016-03-21T06:33:01.360Z,38.1998333,-121.8003333,23.54,2.58,md,42,111,0.04501,0.15,nc,nc72610155,2016-03-22T21:09:06.119Z,"10km WNW of Rio Vista, California",earthquake,0.25,0.32,0.241,52,reviewed,nc,nc
2016-03-21T06:28:56.000Z,59.6796,-153.2975,102.6,2.6,ml,,,,0.57,ak,ak13028370,2016-03-21T14:31:22.763Z,"83km W of Anchor Point, Alaska",earthquake,2.1,1.2,,,automatic,ak,ak
2016-03-21T04:51:17.560Z,36.5232,-98.9605,2.9,2.6,mb_lg,,70,0.113,0.4,us,us20005bdv,2016-03-21T12:53:54.963Z,"23km ENE of Mooreland, Oklahoma",earthquake,2,4.5,0.1,26,reviewed,us,us
2016-03-21T00:25:57.120Z,37.5941,-97.8383,7.73,2.8,mb_lg,,37,0.322,0.44,us,us20005bcu,2016-03-21T11:14:33.162Z,"6km SW of Cheney, Kansas",earthquake,3.2,7.6,0.077,44,reviewed,us,us
2016-03-20T22:12:09.640Z,35.5308333,-116.4205,3.75,2.55,ml,16,87,0.3889,0.15,ci,ci37537888,2016-03-21T18:32:20.040Z,"38km NE of Fort Irwin, California",earthquake,0.31,1.67,0.167,99,reviewed,ci,ci
2016-03-20T21:57:59.090Z,37.0998333,-117.877,3.55,2.79,ml,27,75,0.2274,0.22,ci,ci37537872,2016-03-21T19:33:51.338Z,"37km E of Big Pine, California",earthquake,0.28,31.61,0.21,51,reviewed,ci,ci
2016-03-20T21:06:42.000Z,63.12,-150.8197,133.7,2.6,ml,,,,0.36,ak,ak13022189,2016-03-21T05:09:24.176Z,"95km NNW of Talkeetna, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-03-20T20:54:00.880Z,36.2872,-97.5245,5,3,mb_lg,,53,0.207,0.27,us,us20005bad,2016-03-20T21:38:33.077Z,"21km W of Perry, Oklahoma",earthquake,1.6,2,0.065,62,reviewed,us,us
2016-03-20T20:13:03.330Z,19.2086658,-155.4276733,35.12,2.56,md,59,138,0.04044,0.13,hv,hv61208046,2016-03-21T17:13:58.149Z,"5km E of Pahala, Hawaii",earthquake,0.44,0.52,0.26,42,automatic,hv,hv
2016-03-20T19:30:56.260Z,38.8383333,-122.7648333,0.84,3.05,ml,42,78,0.003911,0.06,nc,nc72609930,2016-03-22T04:05:06.001Z,"4km WNW of Cobb, California",earthquake,0.14,0.11,0.198,45,reviewed,nc,nc
2016-03-20T19:30:53.180Z,38.8391667,-122.7638333,0.77,2.89,md,58,47,0.00371,0.08,nc,nc72609920,2016-03-22T02:04:05.354Z,"4km WNW of Cobb, California",earthquake,0.11,0.2,0.07,2,reviewed,nc,nc
2016-03-20T18:15:07.610Z,43.9864,-128.7133,10,3.4,ml,,236,3.381,0.68,us,us20005b9f,2016-03-20T23:25:19.545Z,Off the coast of Oregon,earthquake,4.7,2,0.053,46,reviewed,us,us
2016-03-20T17:23:04.230Z,36.127,-89.7283333,9.07,2.61,md,59,25,0.02244,0.11,nm,nm60133096,2016-03-21T12:51:29.927Z,"9km SW of Caruthersville, Missouri",earthquake,0.13,0.34,0.164,26,reviewed,nm,nm
2016-03-20T17:02:29.660Z,51.2576,-174.155,10,4.1,mb,,229,1.452,0.91,us,us20005b96,2016-03-21T01:05:26.330Z,"104km S of Atka, Alaska",earthquake,7.8,2,0.084,39,reviewed,us,us
2016-03-20T16:43:59.650Z,19.8465,-155.6991667,32.356,4.59,ml,27,112,0.04057,0.1,hv,hv61207881,2016-03-23T16:28:29.724Z,"13km SE of Waikoloa, Hawaii",earthquake,0.55,0.79,0.182,17,reviewed,hv,hv
2016-03-20T13:08:33.000Z,59.8025,-153.0906,95.3,3,ml,,,,0.6,ak,ak13016939,2016-03-20T21:11:56.949Z,"70km W of Anchor Point, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-03-20T08:29:56.030Z,36.4713,-98.5268,5,3,mb_lg,,58,0.006,0.2,us,us20005b7m,2016-03-20T23:04:03.341Z,"22km N of Fairview, Oklahoma",earthquake,0.8,1.8,0.061,70,reviewed,us,us
2016-03-20T07:14:54.730Z,36.1944,-96.7872,5,3,mb_lg,,70,0.068,0.46,us,us20005b7c,2016-03-20T15:17:36.819Z,"11km NW of Yale, Oklahoma",earthquake,1.4,2,0.065,62,reviewed,us,us
2016-03-20T04:02:33.970Z,51.4565,-174.1063,10,4.2,mb,,198,1.371,0.76,us,us20005b6a,2016-03-20T23:15:42.552Z,"82km S of Atka, Alaska",earthquake,5.1,2,0.085,38,reviewed,us,us
2016-03-20T01:24:58.590Z,51.5711,-174.3087,10,4.2,mb,,193,1.206,0.73,us,us20005b5m,2016-03-20T23:15:41.695Z,"69km S of Atka, Alaska",earthquake,8,1.9,0.066,64,reviewed,us,us
2016-03-20T00:07:58.260Z,19.2145004,-155.4234924,32.4,2.68,ml,59,137,0.03357,0.22,hv,hv61207421,2016-03-20T17:12:23.919Z,"6km E of Pahala, Hawaii",earthquake,0.5,0.72,0.37,10,automatic,hv,hv
2016-03-19T23:17:24.300Z,19.2011662,-155.357666,47.02,2.68,md,49,176,0.05219,0.18,hv,hv61207326,2016-03-20T07:20:01.006Z,"12km E of Pahala, Hawaii",earthquake,0.59,0.77,0.17,30,automatic,hv,hv
2016-03-19T22:59:04.530Z,36.0088,-97.1565,4.52,3,mb_lg,,37,0.263,0.33,us,us20005b4d,2016-03-20T03:38:58.451Z,"11km WNW of Perkins, Oklahoma",earthquake,1.6,7.1,0.061,69,reviewed,us,us
2016-03-19T22:00:30.000Z,51.3429,-173.9615,16.6,3.5,ml,,,,0.51,ak,ak13010729,2016-03-20T06:03:01.236Z,"96km S of Atka, Alaska",earthquake,3.4,1.6,,,reviewed,ak,ak
2016-03-19T21:34:39.700Z,37.0969,-98.025,4.63,2.9,mb_lg,,57,0.062,0.19,us,us20005b3w,2016-03-20T20:01:37.082Z,"6km S of Anthony, Kansas",earthquake,1.1,3,0.069,55,reviewed,us,us
2016-03-19T21:21:28.510Z,38.8488333,-122.7548333,1.27,2.63,md,34,107,0.01284,0.05,nc,nc72609235,2016-03-23T01:56:04.845Z,"4km NW of Cobb, California",earthquake,0.19,0.16,0.244,9,reviewed,nc,nc
2016-03-19T21:20:32.380Z,38.8485,-122.758,1.53,3.24,ml,72,46,0.01192,0.05,nc,nc72609210,2016-03-22T23:43:04.826Z,"4km NW of Cobb, California",earthquake,0.09,0.15,0.127,49,reviewed,nc,nc
2016-03-19T20:28:54.990Z,36.6952,-98.6117,3.46,2.8,mb_lg,,78,0.079,0.14,us,us20005b2w,2016-03-19T21:34:23.038Z,"13km SSE of Alva, Oklahoma",earthquake,1.3,3.3,0.071,52,reviewed,us,us
2016-03-19T20:17:52.580Z,51.9687,178.3969,103.38,4.6,mb,,101,2.741,0.8,us,us20005b2v,2016-03-20T04:20:35.761Z,"7km WNW of Little Sitkin Island, Alaska",earthquake,8.5,7,0.041,175,reviewed,us,us
2016-03-19T18:16:20.000Z,61.5346,-150.5937,47.6,2.6,ml,,,,0.64,ak,ak13008297,2016-03-20T02:18:49.462Z,"34km W of Big Lake, Alaska",earthquake,0.4,1.5,,,automatic,ak,ak
2016-03-19T16:46:39.000Z,60.1847,-153.2363,140.6,2.5,ml,,,,0.67,ak,ak13007731,2016-03-20T00:49:18.722Z,"43km SW of Redoubt Volcano, Alaska",earthquake,1.1,0.8,,,automatic,ak,ak
2016-03-19T16:15:39.961Z,40.3688,-117.7202,14.2,2.9,ml,23,98.6,0.385,0.1315,nn,nn00536173,2016-03-20T22:45:05.515Z,"67km S of Winnemucca, Nevada",earthquake,7.65,9.3,0.2,13,reviewed,nn,nn
2016-03-19T09:41:32.000Z,52.7746,-168.1279,25.7,4.1,ml,,,,0.82,ak,ak13004517,2016-03-19T20:53:13.974Z,"53km ESE of Nikolski, Alaska",earthquake,1.9,2.7,,,reviewed,ak,ak
2016-03-19T09:19:35.000Z,51.5559,-173.5577,30.9,2.8,ml,,,,0.67,ak,ak13004506,2016-03-19T20:53:08.979Z,"83km SSE of Atka, Alaska",earthquake,3.7,9.4,,,reviewed,ak,ak
2016-03-19T08:50:29.110Z,51.5961,-174.3422,32.18,4.1,mb,,205,1.176,0.81,us,us20005az6,2016-03-19T20:32:34.750Z,"67km S of Atka, Alaska",earthquake,8.9,10.6,0.109,23,reviewed,us,us
2016-03-19T08:45:18.000Z,51.3628,-174.3233,7.3,2.5,ml,,,,0.43,ak,ak13003993,2016-03-19T20:33:32.609Z,"93km S of Atka, Alaska",earthquake,7.1,7,,,reviewed,ak,ak
2016-03-19T06:46:28.570Z,36.1662,-99.1597,5,2.6,mb_lg,,66,0.248,0.38,us,us20005ayx,2016-03-19T08:07:46.496Z,"22km NW of Taloga, Oklahoma",earthquake,3.8,2,0.076,45,reviewed,us,us
2016-03-19T04:41:17.520Z,51.0895,-174.2613,10,4.5,mb,,179,1.506,1.08,us,us20005ayj,2016-03-19T20:32:35.462Z,"123km S of Atka, Alaska",earthquake,8.8,1.9,0.048,125,reviewed,us,us
2016-03-19T04:31:00.010Z,36.9195,-97.8114,5,2.7,mb_lg,,35,0.078,0.45,us,us20005ayg,2016-03-19T05:29:48.261Z,"14km NNW of Medford, Oklahoma",earthquake,1.7,1.9,0.073,49,reviewed,us,us
2016-03-19T04:00:01.000Z,52.8818,-174.0295,21.2,4.2,ml,,,,0.73,ak,ak13002940,2016-03-19T20:11:32.417Z,"77km N of Atka, Alaska",earthquake,3.7,3,,,reviewed,ak,ak
2016-03-19T03:59:59.460Z,51.7678,-173.625,10,4.9,mb,,175,1.543,1.11,us,us20005ay8,2016-03-19T12:02:29.675Z,"61km SE of Atka, Alaska",earthquake,8.6,1.9,0.028,410,reviewed,us,us
2016-03-19T02:31:35.140Z,51.3832,-174.1391,10,4.1,mb,,197,1.39,0.84,us,us20005ay1,2016-03-19T10:34:17.136Z,"90km S of Atka, Alaska",earthquake,7.3,2,0.1,27,reviewed,us,us
2016-03-19T02:06:50.660Z,51.1191,-173.9733,10,4.1,mb,,198,1.626,0.89,us,us20005axz,2016-03-19T10:09:23.335Z,"120km S of Atka, Alaska",earthquake,10.3,1.6,0.089,34,reviewed,us,us
2016-03-19T01:38:05.400Z,36.9334,-97.8142,5,2.5,mb_lg,,36,0.089,0.33,us,us20005axt,2016-03-19T09:40:48.399Z,"15km NNW of Medford, Oklahoma",earthquake,1.1,2,0.154,11,reviewed,us,us
2016-03-19T01:35:12.230Z,51.5125,-174.2341,17,6,mww,,46,1.274,1.03,us,us20005axu,2016-03-19T22:56:31.000Z,"76km S of Atka, Alaska",earthquake,6.9,1.7,,,reviewed,us,us
2016-03-19T01:22:16.320Z,51.3796,-174.2654,10,5,mb,,140,1.325,1.17,us,us20005axl,2016-03-19T09:24:45.183Z,"90km S of Atka, Alaska",earthquake,8.2,1.9,0.028,398,reviewed,us,us
2016-03-18T23:27:13.090Z,19.426,-155.616,2.382,3.17,ml,47,78,0.02559,0.17,hv,hv61206376,2016-03-19T07:29:47.767Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.54,0.211,27,reviewed,hv,hv
2016-03-18T23:06:47.100Z,36.2223,-99.2081,5,3,mb_lg,,71,0.229,0.56,us,us20005aws,2016-03-19T05:13:30.110Z,"24km S of Mooreland, Oklahoma",earthquake,2.9,1.6,0.067,58,reviewed,us,us
2016-03-18T22:50:21.000Z,61.9309,-150.8735,40.4,2.7,ml,,,,1.07,ak,ak13000480,2016-03-19T06:53:00.315Z,"48km WNW of Willow, Alaska",earthquake,0.8,24.1,,,automatic,ak,ak
2016-03-18T22:29:43.000Z,59.6582,-153.253,109.5,2.9,ml,,,,0.83,ak,ak13000473,2016-03-19T06:32:13.146Z,"81km W of Anchor Point, Alaska",earthquake,1.1,0.7,,,automatic,ak,ak
2016-03-18T21:45:58.650Z,38.7968333,-122.7625,2.69,2.9,ml,73,31,0.0202,0.06,nc,nc72608595,2016-03-20T16:14:33.710Z,"2km N of The Geysers, California",earthquake,0.1,0.18,0.182,23,reviewed,nc,nc
2016-03-18T19:57:01.300Z,35.4911,-96.9746,5.354,3,ml,,58,,0.71,us,us20005avb,2016-03-19T17:08:56.255Z,"6km WSW of Meeker, Oklahoma",earthquake,1.1,6.1,,,reviewed,tul,tul
2016-03-18T19:25:25.000Z,59.7387,-153.1678,104.9,3.8,ml,,,,0.71,ak,ak12999521,2016-03-19T16:32:43.040Z,"75km W of Anchor Point, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-03-18T17:52:18.700Z,36.2659,-99.1156,15.67,2.7,mb_lg,,46,0.146,1.18,us,us20005aud,2016-03-19T14:42:01.392Z,"20km SSE of Mooreland, Oklahoma",earthquake,3.3,1.7,0.074,48,reviewed,us,us
2016-03-18T16:22:35.000Z,62.8245,-149.5875,7.3,3,ml,,,,0.72,ak,ak12998160,2016-03-18T22:38:09.588Z,"61km NNE of Talkeetna, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2016-03-18T16:00:59.640Z,36.1932,-99.1831,5,2.9,mb_lg,,113,0.236,0.98,us,us20005atc,2016-03-19T00:03:34.594Z,"26km NW of Taloga, Oklahoma",earthquake,3.2,2,0.066,59,reviewed,us,us
2016-03-18T14:31:03.820Z,32.6626667,-118.105,5.77,2.97,ml,24,212,0.4884,0.24,ci,ci37536936,2016-03-18T22:33:31.260Z,"28km SE of San Clemente Is. (SE tip), California",earthquake,0.59,31.61,0.134,80,reviewed,ci,ci
2016-03-18T13:33:59.000Z,51.4927,-173.52,25.1,3.4,ml,,,,0.66,ak,ak12997258,2016-03-18T22:19:57.644Z,"91km SSE of Atka, Alaska",earthquake,4.2,5.4,,,reviewed,ak,ak
2016-03-18T11:52:20.730Z,51.5589,-173.5284,37.01,4.4,mb,,187,1.66,0.92,us,us20005aqb,2016-03-18T22:18:37.401Z,"84km SSE of Atka, Alaska",earthquake,9.8,9.1,0.048,123,reviewed,us,us
2016-03-18T10:52:00.440Z,-56.3566,-27.2826,102.08,5.3,mb,,53,5.651,0.83,us,us20005aq1,2016-03-18T18:54:37.561Z,"38km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.8,5.2,0.057,104,reviewed,us,us
2016-03-18T09:38:12.950Z,51.6237,-173.6057,55.44,5.1,mb,,136,1.593,1.02,us,us20005apm,2016-03-18T21:58:51.210Z,"75km SSE of Atka, Alaska",earthquake,8.7,7.9,0.027,454,reviewed,us,us
2016-03-18T09:19:48.000Z,51.2802,-173.8761,48.1,3.9,ml,,,,0.84,ak,ak12995944,2016-03-18T21:59:55.924Z,"104km SSE of Atka, Alaska",earthquake,4.7,14.1,,,reviewed,ak,ak
2016-03-18T07:32:50.000Z,51.5417,-173.4723,35.4,3.1,ml,,,,0.33,ak,ak13000001,2016-03-18T21:38:56.001Z,"88km SE of Atka, Alaska",earthquake,7,6.5,,,reviewed,ak,ak
2016-03-18T04:58:22.890Z,35.3465,-118.5671667,10.58,2.55,ml,10,103,0.1318,0.23,ci,ci37137916,2016-03-18T13:23:30.154Z,"26km NNW of Tehachapi, California",earthquake,0.57,1.62,0.186,4,reviewed,ci,ci
2016-03-18T04:58:05.690Z,35.3325,-118.5521667,8.06,3.11,ml,55,44,0.115,0.16,ci,ci37536784,2016-03-18T19:37:10.855Z,"24km NNW of Tehachapi, California",earthquake,0.15,0.61,0.192,141,reviewed,ci,ci
2016-03-18T03:09:25.950Z,19.0371667,-155.3716667,34.951,3.12,ml,47,217,0.1454,0.09,hv,hv61205826,2016-03-18T16:24:53.080Z,"21km SSE of Pahala, Hawaii",earthquake,0.67,0.98,0.125,28,reviewed,hv,hv
2016-03-18T02:07:51.000Z,66.7913,-162.9327,20.8,2.9,ml,,,,0.71,ak,ak12994265,2016-03-18T21:18:12.957Z,"18km SW of Kotzebue, Alaska",earthquake,1.5,0.8,,,reviewed,ak,ak
2016-03-18T02:05:36.000Z,51.5373,-174.3088,4,2.9,ml,,,,0.41,ak,ak12994264,2016-03-18T21:18:44.266Z,"73km S of Atka, Alaska",earthquake,12.8,3.7,,,reviewed,ak,ak
2016-03-17T22:46:41.000Z,63.5018,-151.2547,0,2.9,ml,,,,1.17,ak,ak12993410,2016-03-18T06:49:17.587Z,"115km W of Cantwell, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-03-17T21:42:43.000Z,56.722,-154.1635,35,3,ml,,,,0.6,ak,ak12993002,2016-03-21T05:56:08.040Z,"91km S of Larsen Bay, Alaska",earthquake,3.9,1.3,,,reviewed,ak,ak
2016-03-17T19:31:00.560Z,35.44,-118.3501667,2.96,2.62,ml,47,43,0.1592,0.13,ci,ci37536640,2016-03-17T21:14:43.600Z,"21km SE of Bodfish, California",earthquake,0.14,0.59,0.244,25,reviewed,ci,ci
2016-03-17T18:46:49.000Z,60.1468,-153.0213,130.9,3.3,ml,,,,0.68,ak,ak12992166,2016-03-18T02:49:21.032Z,"40km SSW of Redoubt Volcano, Alaska",earthquake,0.4,0.5,,,reviewed,ak,ak
2016-03-17T07:46:29.000Z,59.8233,-152.919,104.7,2.6,ml,,,,0.57,ak,ak12990122,2016-03-17T15:49:13.481Z,"61km W of Anchor Point, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-03-17T06:58:25.870Z,38.81,-122.8261667,1.73,2.53,md,59,33,0.00261,0.05,nc,nc72607655,2016-03-17T23:16:04.387Z,"7km WNW of The Geysers, California",earthquake,0.1,0.18,0.207,44,reviewed,nc,nc
2016-03-17T06:47:19.990Z,38.8101667,-122.8223333,1.65,2.76,md,67,32,0.005503,0.08,nc,nc72607635,2016-03-18T05:32:18.803Z,"6km WNW of The Geysers, California",earthquake,0.12,0.19,0.253,60,reviewed,nc,nc
2016-03-17T04:00:42.580Z,36.8263,-98.2778,7.42,2.9,mb_lg,,97,0.058,0.23,us,us20005ads,2016-03-17T12:03:25.112Z,"10km NE of Cherokee, Oklahoma",earthquake,1.2,5.1,0.063,65,reviewed,us,us
2016-03-17T03:34:18.910Z,36.8284,-98.2843,6.48,3.3,mb_lg,,80,0.064,0.13,us,us20005adn,2016-03-17T11:36:52.046Z,"10km NE of Cherokee, Oklahoma",earthquake,1.4,3.2,0.065,62,reviewed,us,us
